poem
"栖真境界太玄乡,静见吾宗不可量.好句祇凭诗断送,闲缘唯遣道消亡.雨丝云织轻条密,烟素风抽细缕长.竟日虚怀无一事,金瓶秋水石炉香."
"得丧从来事甚均,任缘徒用苦劳神.野蔬随分堪充口,石室依稀可庇身.碧海几时无去棹,红衢何日息征轮.若教求道如求利,举世浑成无事人."
"数朝兴废狂风过,千载荣枯掣电飞.早向权门思息意,莫于尘世自沈机.一条水引闲花出,万里云随独鹤归.最要身安成大道,免教他后始知非."
"幽栖带郭半山峰,密意虚怀莫可同.事到定中消息静,景于吟处炼磨空.玲珑色淡松根月,敲磕声清竹罅风.独坐独行谁会我,群星朝北水朝东."
"三度曾经游此地,从缘权顺世闲情.登山虽有谢安志,遁迹惭无慧远名.翠叠寒枝松未老,影深幽径竹新成.莫言去住关怀抱,云本无心水自清."
"欲识永明旨,门前一湖水.日照光明生,风来波浪起."
"松萝高镇夏长寒,透出群峰画恐难.造化功成彰五德,洞天云散露花冠."
"盘空势险露岩根,深洞声寒落石泉.好是雨余江上见,水云僧出认西天."
"翠压群峰地形直,落日猿声在空碧.天风吹散断崖云,古松长露三秋色."
"烟萝高𪩘势凌云,影泻斜阳出海门.曾与支公探隠去,夜寒雷雨上方闻."
"湖外层峰泻危瀑,天际阴阴长寒木.南北行人望莫穷,秋云一片横幽谷."
"孤猿叫落中岩月,野客吟残半夜灯.此境此时谁会意,白云深处坐禅僧."
"一水浮千棹,悠悠来去人.缆开湘浦岸,帆落楚江滨.风色东西变,潮痕旦暮新.祗兹澄汉色,几度化为尘."
"闲居谁似我,退迹理难过.要势危身早,浮荣败德多.雨催虫出穴,寒逼鸟移窠.野迳无人翦,疏窗入薜萝."
"独步出衡茅,寒云著地交.烧平多败穴,叶落见危巢."
"大禹不知凿,来源亦自成.色应怜众白,声合让孤清.远势曾吞海,飞流欲喷鲸.灵槎如可泛,天际问归程."
"南有天台事可尊,孕灵含秀独超群.重重曲涧侵危石,步步层岩踏碎云.金雀每从云里现,异香多向夜深闻.当知此界非凡界,一道幽奇各自分."
"仙源佛窟有天台,今古嘉名遍九垓.石磴嵌空神匠出,瀑泉雄壮雨声来.景强偏感高僧住,地胜能令远思开.一等翘诚依此处,自然灵贶作梯媒."
"智泉福海莫能逾,亲自王恩运睿谟.感现尽冥心境界,资持全固道根株.石梁低翥红鹦鹉,烟岭高翔碧鹧鸪.胜妙重重惟祷祝,永资军庶息灾虞."
"凌晨迎请倍精诚,亲敬鲜花异处清.罗汉攀枝呈梵相,岩僧倚树现真形.神幡双出红霞动,宝塔全开白气生.都为王心标意切,满空盈月瑞分明."
"幡花宝盖满清川,祈祷迎来圣半千.莫道圣缘无影响,须知嘉会有因缘.空中长似闻天乐,岩畔尝疑有地仙.何必更寻兜率去,重重灵应事昭然."
"登云步岭涉烟程,好景随心次第生.圣者已符祥瑞事,地灵全副祷祈情.洞深重叠拖云湿,滩浅潺湲漱水清.愿满事圆归去路,便风相送片帆轻."
"祖教宗中有二门,十度万行称为尊.初名止观助新学,后成定慧菩提根.唯一法,似双分.法性寂然体真止,寂而常照妙观存.定为父,慧为母,能孕千圣之门户.增长根力养圣胎,念念出生成佛祖.定为将,慧为相,能弼心王成无上.永作群生证道门,即是古佛菩提样.定如月,光烁外道邪星灭.能挑智炬转分明,滋润道芽除爱结.慧如日,照破无明之暗室.能令邪见愚夫禅,尽成般若波罗蜜.少时默,刹那静,渐渐增修成正定.诸圣较量功不多,终见灵台之妙性.瞥闻法,才历耳,能熏识藏觉种起.一念回光正智开,须臾成佛法如是.禅定力,不思义,变凡为圣刹那时.无边生死根由断,积劫尘劳巢穴堕.湛心水,浄意珠,光吞万象烁千途.抉开己眼无瑕翳,三界元无一法拘.觉观贼,应时克,攀援病,倏然浄.荡念垢兮洗惑尘,显法身兮坚慧命.如断山,若停海,天翻地覆终无改.莹似琉璃含宝月,倏然无寄而无待.般若慧,莫能量,自然随处现心光.万行门中为导首,一切时中称法王.竭苦海,碎邪山,妄云卷尽片时间.贫女室中金顿现,壮士额上珠潜还.斩痴网,截欲流,大雄威猛更无俦.能令铁床铜柱冷,顿使魔怨业果休.和诤讼,成孝义,普现群生诸佛智.边邪恶慧尽朝宗,蝼蚁鲲鹏齐受记.偏修定,纯阴烂物刳正命.若将正慧照禅那,自然万法明如镜.偏修慧,纯阳枯物成迂滞.须凭妙定助观门,如月分明除雾翳.劝等学,莫偏修,从来一体无二头.似禽两翼飞空界,如车二轮乘白牛.即向凡途登觉岸,便于业海泛慈舟.或事定,制之一处无不竟.或理定,唯当直下观心性.或事观,明诸法相生筹算.或理观,顿了无一无那畔.定即慧,非一非二非心计.慧即定,不同不别绝观听.或双运,即寂而照通真训.或俱泯,非定非慧超常准.一尘入定众尘起,般若门中成法尔.童子身中三昧时,老人身分谈真轨.能观一境万境同,近尘远刹无不通.真如路上论生死,无明海里演圆宗.眼根能作鼻佛事,色尘入定香尘起.心境常同见自差,谁言不信波元水.非寂非照绝言思,而寂而照功无比.权实双行阐正途,体用更资含妙旨.劝诸子,勿虚弃,光阴如箭如流水.散乱全因缺定门,愚盲祇为亏真智.真实言,须入耳,千经万论同标记.定慧全功不暂忘,一念顿归真觉地.定须习,慧须闻,勿使灵台一点昏.合抱之树生毫末,积渐之功成宝尊.猕猴学定生天界,女子才思入道门.自利利他因果备,若除定慧莫能论."
"园林萧爽闻来久,欲访因循二十秋.此日开襟吟不尽,碧山重叠水长流."
"那堪雨后更闻蝉,溪隔重湖路七千.忆昔故园杨柳岸,全家送上渡头船."
"良哉吕尚父,深隠始归周.钓石千年在,春风一水流.松根盘藓石,花影卧沙鸥.谁更怀韬术,追思古渡头."
"闲思连上景难齐,树遶仙乡路遶溪.明月夜舟渔父唱,春风平野鹧鸪啼.城边寄信归云外,花下倾杯到日西.更忆海阳垂钓侣,昔年相遇草萋萋."
"失意从他桃李春,嵩阳经过歇行尘.云僧不见城中事,问是今年第几人."
"仙界路遥云缥缈,古坛风冷叶萧骚.后来岂合言淹滞,一尉升腾道最高."
"锦衣红夺彩霞明,侵晓春游向野庭.不识农夫辛苦力,骄骢踏烂麦青青."
"倚杖残秋里,吟中四顾频.西风天际雁,落日渡头人.草色衰平野,山阴歛暮尘.却寻苔径去,明月照村邻."
"独宿大中年里寺,樊笼得出事无心.寒山梦觉一声磬,霜叶满林秋正深."
"南游何感思,更甚叶缤纷.一夜耒江雨,百年工部文.青山当日见,白酒至今闻.惟有为诗者,经过时吊君."
"篆写千文迈古今,感陶承旨撰碑阴.两朝雨露书中得,满箧诗章物外寻.衡岳水云长挂梦,帝城烟月不关心.西游去后无消息,想共陈抟一处吟."
"水僧来说我师,换鹅书札转高奇.挥毫传下千年字,贞石曾留几处碑.混俗市廛人莫测,和光踪迹鹤应知.莲花结社须容我,不似陶潜爱湿巵."
"骄阳为戾已成灾,頼有开筵周秀才.莫道上天无感应,故教风雨一齐来."
"曾闻洛下缀神仙,火树南栖几十年.白首自忻丹桂在,诗名已得四方传.行随秋渚将归雁,吟傍梅花欲雪天.今日还家莫惆怅,不同初上渡头船."
"秋风汉北雁飞天,单骑那堪遶贺兰.碛暗更无岩树影,地平时有野烧瘢.貂披寒色和衣冷,剑佩胡霜隔匣寒.早晚横戈似飞尉,拥旄深入异田单."
"钵略城边日欲西,游人却忆旧山归.牛羊集水烟黏步,雕鹗盘空雪满围.猎骑静逢边气薄,戍楼寒对暮烟微.横行总是男儿事,早晚重来似汉飞."
"不将桂子种诸天,长得寻君水石边.玄豹夜寒和雾隠,骊龙春暖抱珠眠.山中宰相陶弘景,洞里真人葛稚川.一度相思一惆怅,水寒烟澹落花前."
"金鼎光辉照雪袍,雒阳春梦忆波涛.尘埃满眼人情异,风雨前程马足劳.接塞峨眉通蜀险,过山仙掌倚秦高.别来无限幽求子,应笑区区味六韬."
"莫学区区老一经,夷门关吏旧书生.晋朝灭后无中散,韩国亡来绝上卿.龙变洞中千谷冷,剑横天外八风清.好携长策干时去,免逐渔樵度太平."
"雕鹗途程在碧天,彩衣东去复何言.二千宾客旧知己,十二山河新故园.吟看桂生溪月上,醉听鲲化海涛翻.好期圣代重相见,莫学袁生老竹轩."
"孤云无定鹤辞巢,自负焦桐不说劳.服药几年期碧落,验符何处呪丹毫.子陵山晓红云密,青草湖平雪浪高.从此人稀见踪迹,还应选地种仙桃."
"剑气徒劳望斗牛,故人别后阻仙舟.残春谩道深倾酒,好月那堪独上楼.何处是非随马足,由来得丧白人头.清风未许重携手,几度高吟寄水流."
"闲居何处得闲名,坐掩衡茅损性灵.破梦晓钟闻竹寺,沁心秋雨浸莎庭.瓮边难负千杯绿,海上终眠万仞青.珍重先生全太古,应看名利似浮云."
"碧江头与白云门,别后秋霜点鬓根.长记学禅青石寺,最思共醉落花村.林间竹有湘妃泪,窗外禽多杜宇魂.未棹扁舟重回首,采薇收橘不堪论."
"病多慵引架书看,官职无才思已阑.穴凤瑞时来却易,人龙别后见何难.琴樽风月闲生计,金玉松筠旧岁寒.早晚烟村碧江畔,挂罾重对蓼花滩."
"国风千载务重华,须逐浮云背若耶.无地可归堪种玉,有天教上且乘槎.白纶巾卸苏门月,红锦衣裁御苑花.他日成都却回首,东山看取谢鲲家."
"岐山高与陇山连,制锦无私服晏眠.鹦鹉语中分百里,凤凰声里过三年.秦无旧俗云烟媚,周有遗风父老贤.莫役生灵种杨柳,一枝枝折灞桥边."
"十年流落赋归鸿,谁傍昏衢驾烛龙.竹屋乱烟思梓泽,酒家疏雨梦临邛.千年别恨调琴懒,一片年光览镜慵.早晚休歌白石烂,放教归去卧群峰."
"谁为梅花怨未平,一声高唤百龙惊.风当阊阖庭初静,月在姑苏秋正明.曲尽绿杨涵野渡,管吹青玉动江城.临流不欲殷勤听,芳草王孙旧有情."
"依旧池边草色芳,故人何处忆山阳.书回科斗江帆暮,曲罢驺虞海树苍.吟望晓烟思桂渚,醉衣残月梦余杭.别来南国知谁在,空对襜褕一断肠."
"织锦歌成下翠微,岂劳西去问搘机.未开水府珠先见,不掘丰城剑自辉.鼇逐玉蟾攀桂上,马随青帝踏花归.相逢半是云霄客,应笑歌牛一布衣."
